#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|             /tmp/v31_fixed2.bin|  9.40e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.64260227|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.96374486|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.52620870|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.03543557|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.97439558|  PASSED  
# The file file_input_raw was rewound 1 times
        diehard_opso|   0|   2097152|     100|0.97170977|  PASSED  
# The file file_input_raw was rewound 1 times
        diehard_oqso|   0|   2097152|     100|0.49146265|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.51238661|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.90282594|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_byt|   0|    256000|     100|0.44253774|  PASSED  
# The file file_input_raw was rewound 2 times
 diehard_parking_lot|   0|     12000|     100|0.37131003|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_2dsphere|   2|      8000|     100|0.58356565|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_3dsphere|   3|      4000|     100|0.10181326|  PASSED  
# The file file_input_raw was rewound 3 times
     diehard_squeeze|   0|    100000|     100|0.49739363|  PASSED  
# The file file_input_raw was rewound 3 times
        diehard_sums|   0|       100|     100|0.55184383|  PASSED  
# The file file_input_raw was rewound 3 times
        diehard_runs|   0|    100000|     100|0.91234958|  PASSED  
        diehard_runs|   0|    100000|     100|0.74252334|  PASSED  
# The file file_input_raw was rewound 3 times
       diehard_craps|   0|    200000|     100|0.62736576|  PASSED  
       diehard_craps|   0|    200000|     100|0.19634568|  PASSED  
# The file file_input_raw was rewound 9 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.14046995|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.66834237|  PASSED  
# The file file_input_raw was rewound 9 times
         sts_monobit|   1|    100000|     100|0.99450255|  PASSED  
# The file file_input_raw was rewound 9 times
            sts_runs|   2|    100000|     100|0.46067704|  PASSED  
# The file file_input_raw was rewound 9 times
          sts_serial|   1|    100000|     100|0.13571199|  PASSED  
          sts_serial|   2|    100000|     100|0.16513018|  PASSED  
          sts_serial|   3|    100000|     100|0.32886240|  PASSED  
          sts_serial|   3|    100000|     100|0.63808616|  PASSED  
          sts_serial|   4|    100000|     100|0.49020520|  PASSED  
          sts_serial|   4|    100000|     100|0.08463487|  PASSED  
          sts_serial|   5|    100000|     100|0.09738106|  PASSED  
          sts_serial|   5|    100000|     100|0.82619991|  PASSED  
          sts_serial|   6|    100000|     100|0.44896217|  PASSED  
          sts_serial|   6|    100000|     100|0.30752992|  PASSED  
          sts_serial|   7|    100000|     100|0.46751921|  PASSED  
          sts_serial|   7|    100000|     100|0.27285804|  PASSED  
          sts_serial|   8|    100000|     100|0.35155524|  PASSED  
          sts_serial|   8|    100000|     100|0.15985920|  PASSED  
          sts_serial|   9|    100000|     100|0.58853371|  PASSED  
          sts_serial|   9|    100000|     100|0.80575533|  PASSED  
          sts_serial|  10|    100000|     100|0.95361129|  PASSED  
          sts_serial|  10|    100000|     100|0.35969879|  PASSED  
          sts_serial|  11|    100000|     100|0.47693624|  PASSED  
          sts_serial|  11|    100000|     100|0.14641497|  PASSED  
          sts_serial|  12|    100000|     100|0.99040074|  PASSED  
          sts_serial|  12|    100000|     100|0.64463246|  PASSED  
          sts_serial|  13|    100000|     100|0.89908007|  PASSED  
          sts_serial|  13|    100000|     100|0.75381383|  PASSED  
          sts_serial|  14|    100000|     100|0.93278047|  PASSED  
          sts_serial|  14|    100000|     100|0.97690487|  PASSED  
          sts_serial|  15|    100000|     100|0.84878346|  PASSED  
          sts_serial|  15|    100000|     100|0.85056468|  PASSED  
          sts_serial|  16|    100000|     100|0.42747503|  PASSED  
          sts_serial|  16|    100000|     100|0.78231873|  PASSED  
# The file file_input_raw was rewound 9 times
         rgb_bitdist|   1|    100000|     100|0.02322789|  PASSED  
# The file file_input_raw was rewound 9 times
         rgb_bitdist|   2|    100000|     100|0.58743641|  PASSED  
# The file file_input_raw was rewound 9 times
         rgb_bitdist|   3|    100000|     100|0.89593523|  PASSED  
# The file file_input_raw was rewound 9 times
         rgb_bitdist|   4|    100000|     100|0.89227388|  PASSED  
# The file file_input_raw was rewound 10 times
         rgb_bitdist|   5|    100000|     100|0.08350080|  PASSED  
# The file file_input_raw was rewound 10 times
         rgb_bitdist|   6|    100000|     100|0.33769596|  PASSED  
# The file file_input_raw was rewound 10 times
         rgb_bitdist|   7|    100000|     100|0.46440523|  PASSED  
# The file file_input_raw was rewound 11 times
         rgb_bitdist|   8|    100000|     100|0.99852904|   WEAK   
# The file file_input_raw was rewound 11 times
         rgb_bitdist|   9|    100000|     100|0.86349730|  PASSED  
# The file file_input_raw was rewound 12 times
         rgb_bitdist|  10|    100000|     100|0.90966157|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|  11|    100000|     100|0.80903035|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|  12|    100000|     100|0.33406782|  PASSED  
# The file file_input_raw was rewound 13 times
rgb_minimum_distance|   2|     10000|    1000|0.10182542|  PASSED  
# The file file_input_raw was rewound 13 times
rgb_minimum_distance|   3|     10000|    1000|0.61101845|  PASSED  
# The file file_input_raw was rewound 13 times
rgb_minimum_distance|   4|     10000|    1000|0.83091465|  PASSED  
# The file file_input_raw was rewound 14 times
rgb_minimum_distance|   5|     10000|    1000|0.88675266|  PASSED  
# The file file_input_raw was rewound 14 times
    rgb_permutations|   2|    100000|     100|0.03924315|  PASSED  
# The file file_input_raw was rewound 14 times
    rgb_permutations|   3|    100000|     100|0.50002576|  PASSED  
# The file file_input_raw was rewound 14 times
    rgb_permutations|   4|    100000|     100|0.95403265|  PASSED  
# The file file_input_raw was rewound 14 times
    rgb_permutations|   5|    100000|     100|0.73754083|  PASSED  
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|   0|   1000000|     100|0.24846327|  PASSED  
# The file file_input_raw was rewound 15 times
      rgb_lagged_sum|   1|   1000000|     100|0.93336303|  PASSED  
# The file file_input_raw was rewound 16 times
      rgb_lagged_sum|   2|   1000000|     100|0.84934795|  PASSED  
# The file file_input_raw was rewound 17 times
      rgb_lagged_sum|   3|   1000000|     100|0.03461628|  PASSED  
# The file file_input_raw was rewound 18 times
      rgb_lagged_sum|   4|   1000000|     100|0.98541577|  PASSED  
# The file file_input_raw was rewound 20 times
      rgb_lagged_sum|   5|   1000000|     100|0.16195035|  PASSED  
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   6|   1000000|     100|0.04774383|  PASSED  
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|   7|   1000000|     100|0.55342377|  PASSED  
# The file file_input_raw was rewound 27 times
      rgb_lagged_sum|   8|   1000000|     100|0.60768285|  PASSED  
# The file file_input_raw was rewound 30 times
      rgb_lagged_sum|   9|   1000000|     100|0.11762286|  PASSED  
# The file file_input_raw was rewound 33 times
      rgb_lagged_sum|  10|   1000000|     100|0.64132023|  PASSED  
# The file file_input_raw was rewound 36 times
      rgb_lagged_sum|  11|   1000000|     100|0.27257667|  PASSED  
# The file file_input_raw was rewound 40 times
      rgb_lagged_sum|  12|   1000000|     100|0.02966625|  PASSED  
# The file file_input_raw was rewound 44 times
      rgb_lagged_sum|  13|   1000000|     100|0.93543004|  PASSED  
# The file file_input_raw was rewound 48 times
      rgb_lagged_sum|  14|   1000000|     100|0.91173367|  PASSED  
# The file file_input_raw was rewound 52 times
      rgb_lagged_sum|  15|   1000000|     100|0.08811327|  PASSED  
# The file file_input_raw was rewound 57 times
      rgb_lagged_sum|  16|   1000000|     100|0.72431266|  PASSED  
# The file file_input_raw was rewound 62 times
      rgb_lagged_sum|  17|   1000000|     100|0.42778890|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|  18|   1000000|     100|0.63364940|  PASSED  
# The file file_input_raw was rewound 73 times
      rgb_lagged_sum|  19|   1000000|     100|0.06124711|  PASSED  
# The file file_input_raw was rewound 79 times
      rgb_lagged_sum|  20|   1000000|     100|0.27646590|  PASSED  
# The file file_input_raw was rewound 85 times
      rgb_lagged_sum|  21|   1000000|     100|0.58706698|  PASSED  
# The file file_input_raw was rewound 92 times
      rgb_lagged_sum|  22|   1000000|     100|0.00020958|   WEAK   
# The file file_input_raw was rewound 99 times
      rgb_lagged_sum|  23|   1000000|     100|0.22856452|  PASSED  
# The file file_input_raw was rewound 106 times
      rgb_lagged_sum|  24|   1000000|     100|0.99991658|   WEAK   
# The file file_input_raw was rewound 113 times
      rgb_lagged_sum|  25|   1000000|     100|0.78612093|  PASSED  
# The file file_input_raw was rewound 121 times
      rgb_lagged_sum|  26|   1000000|     100|0.55093582|  PASSED  
# The file file_input_raw was rewound 129 times
      rgb_lagged_sum|  27|   1000000|     100|0.82851516|  PASSED  
# The file file_input_raw was rewound 137 times
      rgb_lagged_sum|  28|   1000000|     100|0.45258301|  PASSED  
# The file file_input_raw was rewound 145 times
      rgb_lagged_sum|  29|   1000000|     100|0.84051007|  PASSED  
# The file file_input_raw was rewound 154 times
      rgb_lagged_sum|  30|   1000000|     100|0.49730208|  PASSED  
# The file file_input_raw was rewound 163 times
      rgb_lagged_sum|  31|   1000000|     100|0.07437613|  PASSED  
# The file file_input_raw was rewound 172 times
      rgb_lagged_sum|  32|   1000000|     100|0.78789707|  PASSED  
# The file file_input_raw was rewound 172 times
     rgb_kstest_test|   0|     10000|    1000|0.83576177|  PASSED  
# The file file_input_raw was rewound 173 times
     dab_bytedistrib|   0|  51200000|       1|0.83588186|  PASSED  
# The file file_input_raw was rewound 173 times
             dab_dct| 256|     50000|       1|0.44030057|  PASSED  
# The file file_input_raw was rewound 173 times
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.90827621|  PASSED  
        dab_filltree|  32|  15000000|       1|0.98343443|  PASSED  
# The file file_input_raw was rewound 173 times
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.18917135|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.24756216|  PASSED  
# The file file_input_raw was rewound 174 times
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.41128571|  PASSED  
